lastname,firstname,residentID,programID,name
Jacobs,Alicia,69010100,FMD,Family Medicine
Andersen,Elliana,34993934,FMD,Family Medicine
Benton,Sophia,67536109,IMD,Internal Medicine
Stanley,Walker,50476260,ORS,Orthopedic Surgery
Quintero,Fernando,93002143,FMD,Family Medicine
Hodge,Kamila,51157198,FMD,Family Medicine
McLean,Naya,89992674,FMD,Family Medicine
Olson,Talon,85435454,ORS,Orthopedic Surgery
Morrow,Lilyana,38575275,EMD,Emergency Medicine
Hayes,Amari,26735618,FMD,Family Medicine
Riley,Darren,70901662,ANT,Anesthesiology
Reid,Holly,83109164,OBG,Obstetrics and Gynecology
Parrish,Ibrahim,52888423,FMD,Family Medicine
Wallace,Layton,62042524,FMD,Family Medicine
Summers,Alijah,49479340,GSU,General Surgery
Franco,Karter,25213662,PMR,Physical Medicine & Rehabilitation
Pearson,Ariya,61365583,PMR,Physical Medicine & Rehabilitation
Spencer,Mylah,79354856,FMD,Family Medicine
Crane,Boden,98449548,GSU,General Surgery
Bowen,Sydney,59316568,FMD,Family Medicine
Callahan,Nathan,11710943,FMD,Family Medicine
Garner,Marvin,97598682,PSY,Psychiatry
Santiago,Raegan,76462429,PSY,Psychiatry
Campbell,Graysen,73911313,PSY,Psychiatry
Esparza,Kalani,35300785,PSY,Psychiatry
Morse,Esme,76981638,PDT,Pediatrics
Christian,Adelina,99716920,FMD,Family Medicine
Knapp,Jaylee,97410853,FMD,Family Medicine
Russo,Tristen,34624124,GSU,General Surgery
Ali,Charles,72331677,IMD,Internal Medicine
Schmidt,Yaretzi,98673842,FMD,Family Medicine
Carpenter,Colby,79317129,IMD,Internal Medicine
Sims,Bear,77688253,FMD,Family Medicine
Alexander,Cash,36565312,FMD,Family Medicine
Clarke,Caspian,18558809,FMD,Family Medicine
Stewart,Lorelei,97112811,ANT,Anesthesiology
Blevins,Keenan,64194170,PDT,Pediatrics
Green,Liliana,65606263,NRO,Neurology
King,Nicole,53032030,FMD,Family Medicine
Blankenship,Aubrie,63037728,FMD,Family Medicine
Cook,Cara,52240245,FMD,Family Medicine
Bond,Harvey,88902551,FMD,Family Medicine
Avery,Aniya,40009404,FMD,Family Medicine
Hebert,Drew,36651387,ROC,Radiation Oncology
Fuentes,Jacqueline,64844820,FMD,Family Medicine
Correa,Addilyn,53043347,FMD,Family Medicine
Gentry,Amara,13095670,FMD,Family Medicine
Cohen,Braelynn,12900094,PDT,Pediatrics
Lynch,Amora,74446825,FMD,Family Medicine
Garcia,Alessandra,53524034,FMD,Family Medicine
Fox,Abram,71193248,IMD,Internal Medicine
Blankenship,Marshall,69776064,FMD,Family Medicine
Wade,Emory,76837702,GSU,General Surgery
Davidson,Kole,53567136,FMD,Family Medicine
Vincent,Peyton,21217547,IMD,Internal Medicine
Escobar,Zainab,90379344,FMD,Family Medicine
Lane,Ari,11292877,FMD,Family Medicine
Beasley,Marlowe,16851733,FMD,Family Medicine
Lara,Dustin,62965967,DMT,Dermatology
Blankenship,Murphy,82482373,FMD,Family Medicine
Pineda,Grady,84299891,FMD,Family Medicine
Ahmed,Rodrigo,68577221,FMD,Family Medicine
Thomas,April,17753701,FMD,Family Medicine
Mason,Roland,73390614,FMD,Family Medicine
Ventura,Dorian,21034019,FMD,Family Medicine
Good,Ariel,43357730,FMD,Family Medicine
Gates,Ximena,27273279,IMD,Internal Medicine
Andrade,Promise,65212090,ANT,Anesthesiology
Aguirre,Clara,90263136,PDT,Pediatrics
Blankenship,Finnegan,92180065,ANT,Anesthesiology
Harper,Kiana,88999013,FMD,Family Medicine
Padilla,Crew,67614543,IMD,Internal Medicine
Rios,Rayden,70222633,DMT,Dermatology
Klein,Jaime,28098510,URO,Urology
McDowell,Cali,11206384,FMD,Family Medicine
Manning,Virginia,81639234,PSY,Psychiatry
Powers,Opal,12247201,GSU,General Surgery
Crosby,Ayan,77354247,FMD,Family Medicine
Black,Frankie,95693256,FMD,Family Medicine
Franco,Kimora,73774276,IMD,Internal Medicine
Vu,Cecelia,27651665,GSU,General Surgery
Enriquez,Willie,56116577,PDT,Pediatrics
Skinner,Halle,93517396,FMD,Family Medicine
Glenn,Simon,68861066,IMD,Internal Medicine
Day,Ezra,32978905,FMD,Family Medicine
Richmond,Byron,50037166,FMD,Family Medicine
Stevenson,Hakeem,61251034,FMD,Family Medicine
Barker,Phoenix,61484380,IMD,Internal Medicine
Conner,Kara,51400581,FMD,Family Medicine
Greene,Titan,45959071,FMD,Family Medicine
