ENTER the residents file and the programs file, separated by a space
EXAMPLE: residents4000.csv programs4000.csv
INPUT  : 

lastname,firstname,residentID,programID,name
Solis,Ryker,34428292,FMD,Family Medicine
Davis,Seth,15928823,FMD,Family Medicine
Roth,Marlon,32449690,FMD,Family Medicine
Burns,Aniya,80146163,FMD,Family Medicine
Avila,Evelynn,33142446,FMD,Family Medicine
Daniel,Kinley,90613621,PDT,Pediatrics
Hopkins,Lionel,41237682,PMR,Physical Medicine & Rehabilitation
O’Donnell,Marisol,73908222,PDT,Pediatrics
Nelson,Kylen,84897464,ANT,Anesthesiology
Banks,Malaya,72174231,PDT,Pediatrics
Benson,Justin,85969726,PDT,Pediatrics
Freeman,Gwen,37983657,FMD,Family Medicine
Maddox,Ellianna,26184187,IMD,Internal Medicine
McClain,Quinton,82215027,FMD,Family Medicine
Frye,Keyla,92853075,OBG,Obstetrics and Gynecology
Cano,Oakleigh,98439629,FMD,Family Medicine
Payne,Kori,77117223,FMD,Family Medicine
Adkins,Justice,58574108,FMD,Family Medicine
Nguyen,Ariah,76852056,FMD,Family Medicine
Walton,Christopher,40676293,FMD,Family Medicine
Yu,Fisher,70742271,PSY,Psychiatry
Heath,Harvey,12430038,DMP,Diagnostic and Molecular Pathology
Magana,Maddison,90361623,ANT,Anesthesiology
Bravo,Colby,31243411,FMD,Family Medicine
Pennington,Aileen,65992146,PDT,Pediatrics
Hensley,Siena,17875884,ANT,Anesthesiology
Rowland,Derek,50026513,FMD,Family Medicine
Dickerson,Van,95469747,EMD,Emergency Medicine
Alexander,Kian,87571514,ORS,Orthopedic Surgery
Washington,Santino,97475529,PDT,Pediatrics
Terry,Jade,43126197,FMD,Family Medicine
Rasmussen,Shepard,70175535,FMD,Family Medicine
Frost,Grey,49894813,FMD,Family Medicine
Arellano,Laney,50451965,PSY,Psychiatry
Gaines,Titan,83497608,FMD,Family Medicine
Pham,Florence,15943815,FMD,Family Medicine
Palacios,Brooks,56216991,FMD,Family Medicine
Love,Valentina,82072925,PDT,Pediatrics
